DATE,PATH,TARGET,PC1,PC2,EYF3,EYF6,EYF9,EYF12,JGBF,flag_30min
1997/6/1,0,0,0,0,0,0,0,0,0,0
1997/7/1,0,0,0,0,0,0,0,0,0,0
1997/8/1,0,0,0,0,0,0,0,0,0,0
1997/9/1,0,0,0,0,0,0,0,0,0,0
1997/10/1,0,0,0,0,0,0,0,0,0,0
1997/11/1,0.000997072,-0.002496117,-0.068629188,-0.091990556,-0.002,-0.003,-0.002,-0.001,-0.001098901,0
1997/12/1,0.009005809,-0.022545572,-0.619876537,-0.830882438,-0.018064516,-0.027096774,-0.018064516,-0.009032258,-0.009925558,0
1998/1/1,0.004878783,-0.001210584,0.096251888,-0.302773336,-0.00516129,0.00516129,-0.00516129,0.010322581,0.026033966,0
1998/2/1,-0.002061029,-0.012620279,-0.400461986,-0.136670323,-0.018214286,-0.005357143,-0.0275,-0.004642857,0.012076009,0
1998/3/1,0.017647309,-0.077888447,-2.48451187,-2.110210921,-0.088064516,-0.063870968,-0.071612903,-0.055806452,0.010271133,0
1998/4/1,0.01417533,0.017135642,1.159822373,-0.642527301,0.018,0.019666667,0.020666667,0.041,0.073968755,0
1998/5/1,0.004512569,-0.013747601,-0.296441516,-0.511999273,-0.007741935,-0.019677419,-0.026774194,0.008387097,0.011916899,0
1998/6/1,0.006819719,0.002012828,0.354828736,-0.416197763,0.006,-0.002,0.011,0.007666667,-0.006999687,0
1998/7/1,-0.015909452,0.039071639,1.431034653,1.249478791,0.043548387,0.030322581,0.047096774,0.004193548,0.01484002,0
1998/8/1,-0.016965198,0.027117525,0.966171177,1.13110996,0.030967742,0.019354839,0.024193548,0,0.027541351,0
1998/9/1,-0.005817956,-0.005843978,-0.195197062,0.14632871,-0.001666667,-0.012333333,-0.01,-0.011666667,-0.007594053,0
1998/10/1,-0.003502183,-0.063268245,-2.339251241,-0.782913095,-0.057096774,-0.073548387,-0.067096774,-0.065806452,-0.075303864,0
1998/11/1,-0.014882174,-0.025552278,-1.050431601,0.309030603,-0.017333333,-0.039,-0.041333333,-0.036666667,-0.088453483,0
1998/12/1,0.04601646,-0.047722832,-0.830716848,-3.163714883,-0.040322581,-0.052258065,0.013225806,-0.017419355,-0.010538225,0
1999/1/1,0.023727072,-0.004459725,0.349351414,-1.353835241,-0.000322581,-0.005483871,0.012580645,0.02516129,0.01751832,0
1999/2/1,0.024431689,0.016319618,1.228233501,-1.14097131,0.006428571,0.032857143,0.045,0.0325,0.113913884,0
1999/3/1,0.008208564,-0.008289566,0.059069103,-0.674366363,-0.015483871,0.002258065,-0.006129032,0.002580645,0.13241582,0
1999/4/1,0.000684866,-0.03262036,-1.025877225,-0.610758475,-0.025333333,-0.038666667,-0.085333333,0.019333333,-0.033820116,0
1999/5/1,-0.011177374,-0.003083761,-0.168660183,0.454755048,0.005483871,-0.016129032,-0.009032258,-0.015806452,-0.013434553,0
1999/6/1,0.023020659,-0.038503193,-0.952858133,-1.799766042,-0.041333333,-0.032,-0.021666667,-0.013,-0.040776377,0
1999/7/1,0.028084309,0.002460526,0.804797897,-1.548572737,0.004516129,0.00516129,0.021290323,0.038064516,0.018100978,0
1999/8/1,0.01587549,0.001039241,0.445386095,-0.882510044,0,0.00483871,0.018064516,0.014516129,0.052642493,0
1999/9/1,-0.016098482,0.007785802,0.167624311,0.858328693,0.011333333,0.000666667,-0.004,-0.01,0.169245032,0
1999/10/1,-0.004734957,-0.006799956,-0.165799199,0.04997841,-0.000967742,-0.015967742,0,-0.020322581,0.059085451,1
1999/11/1,0.001981731,-0.001616303,0.192863016,-0.250730092,-0.003166667,0.0005,0.001666667,-0.0015,-0.010573997,1
1999/12/1,0.001725514,0.006632707,0.471994399,-0.104019108,0.000483871,0.01483871,0.008387097,0.006451613,-0.003960933,1
2000/1/1,-0.00429916,0.004033725,0.185745422,0.218822504,0.005,0.002419355,-0.002419355,0.002419355,-0.00108275,1
2000/2/1,-0.002362148,0.000398917,0.126822798,0.041163421,-0.001724138,0.002758621,-0.002758621,-0.001724138,-0.021642395,1
2000/3/1,-0.00326355,-0.003023854,0.056264768,-0.003200623,-0.007096774,0.001290323,-0.003870968,-0.009677419,0.006645879,1
