"統計名：","法人企業統計調査 時系列データ"
"表番号：","1"
"表題：","[時系列データ] 金融業、保険業以外の業種(原数値)"
"実施年月：","2024年度","-"

"*","計算結果が値を持たない項目"
"***","数字が得られないもの"

"","","","","","","","","","/調査項目 (金融業、保険業以外の業種) コード","045","065","057","066","235","071","072","073"
"","","","","","","","","","/調査項目 (金融業、保険業以外の業種) 補助コード","-","-","-","-","-","-","-","-"
"業種 (金融業、保険業以外の業種) コード","業種 (金融業、保険業以外の業種) 補助コード","業種 (金融業、保険業以外の業種)","規模 (金融業、保険業以外の業種) コード","規模 (金融業、保険業以外の業種) 補助コード","規模 (金融業、保険業以外の業種)","年  期 コード","年  期 補助コード","年  期","/調査項目 (金融業、保険業以外の業種)","売上高(当期末)【百万円】","役員給与(当期末)【百万円】","役員賞与(当期末)【百万円】","従業員給与(当期末)【百万円】","従業員賞与(当期末)【百万円】","期中平均役員数(当期末)【人】","期中平均従業員数(当期末)【人】","付加価値(当期末)【百万円】"
"104","","全産業（除く金融保険業）","26","","全規模","19890","","1989年度","","1,307,850,091","21,908,668","826,497","115,616,444","***","4,643,722","34,261,138","230,341,563"
"104","","全産業（除く金融保険業）","26","","全規模","19900","","1990年度","","1,428,180,666","24,018,061","894,714","122,100,644","***","4,849,448","34,536,809","246,971,164"
"104","","全産業（除く金融保険業）","26","","全規模","19910","","1991年度","","1,474,774,866","26,723,898","943,170","133,625,790","***","5,104,350","37,665,126","265,587,699"
"104","","全産業（除く金融保険業）","26","","全規模","19920","","1992年度","","1,465,059,364","28,869,703","837,786","138,375,986","***","5,323,212","37,262,061","268,032,964"
"104","","全産業（除く金融保険業）","26","","全規模","19930","","1993年度","","1,439,112,047","29,998,557","733,062","142,809,094","***","5,532,477","38,049,834","266,604,665"
"104","","全産業（除く金融保険業）","26","","全規模","19940","","1994年度","","1,438,984,537","30,732,523","890,285","145,764,698","***","5,687,733","38,462,359","272,477,194"
"104","","全産業（除く金融保険業）","26","","全規模","19950","","1995年度","","1,484,697,684","30,557,946","854,928","146,829,809","***","5,716,448","37,891,348","277,273,164"
"104","","全産業（除く金融保険業）","26","","全規模","19960","","1996年度","","1,448,382,983","29,032,950","835,926","142,890,473","***","5,588,855","36,756,538","269,720,620"
"104","","全産業（除く金融保険業）","26","","全規模","19970","","1997年度","","1,467,424,031","30,379,034","748,766","146,854,512","***","5,631,595","37,570,730","275,660,734"
"104","","全産業（除く金融保険業）","26","","全規模","19980","","1998年度","","1,381,337,660","30,322,363","769,345","146,875,703","***","5,771,986","37,983,463","270,412,743"
"104","","全産業（除く金融保険業）","26","","全規模","19990","","1999年度","","1,383,463,850","30,019,559","627,425","146,036,930","***","5,781,541","38,561,655","267,546,895"
"104","","全産業（除く金融保険業）","26","","全規模","20000","","2000年度","","1,435,027,843","30,520,060","806,391","146,636,976","***","5,956,719","39,225,522","276,629,400"
"104","","全産業（除く金融保険業）","26","","全規模","20010","","2001年度","","1,338,206,537","29,583,141","565,025","138,578,448","***","5,887,760","36,950,333","256,891,732"
"104","","全産業（除く金融保険業）","26","","全規模","20020","","2002年度","","1,326,801,955","28,865,574","896,669","136,127,919","***","5,845,129","36,240,860","257,869,096"
"104","","全産業（除く金融保険業）","26","","全規模","20030","","2003年度","","1,334,673,656","27,625,625","967,688","133,324,410","***","5,919,980","36,626,819","257,461,075"
"104","","全産業（除く金融保険業）","26","","全規模","20040","","2004年度","","1,420,355,876","28,678,581","1,231,322","139,709,294","***","6,094,194","39,508,364","274,199,551"
"104","","全産業（除く金融保険業）","26","","全規模","20050","","2005年度","","1,508,120,690","28,145,654","1,522,483","146,217,485","***","6,117,950","41,584,468","281,226,523"
"104","","全産業（除く金融保険業）","26","","全規模","20060","","2006年度","","1,566,432,850","29,127,228","46","149,177,624","***","5,954,040","41,888,593","290,775,504"
"104","","全産業（除く金融保険業）","26","","全規模","20070","","2007年度","","1,580,171,337","28,720,749","803,935","125,277,561","21,876,813","5,980,995","40,879,909","285,457,302"
"104","","全産業（除く金融保険業）","26","","全規模","20080","","2008年度","","1,508,207,183","28,473,425","562,135","125,827,854","20,583,937","5,843,526","41,393,941","264,327,807"
"104","","全産業（除く金融保険業）","26","","全規模","20090","","2009年度","","1,368,019,602","27,146,103","488,817","127,037,086","19,556,583","5,626,116","41,078,058","263,347,838"
"104","","全産業（除く金融保険業）","26","","全規模","20100","","2010年度","","1,385,742,617","25,595,546","533,969","126,436,250","19,972,059","5,522,046","40,549,950","271,917,517"
"104","","全産業（除く金融保険業）","26","","全規模","20110","","2011年度","","1,381,046,925","25,674,954","526,879","130,102,150","20,551,770","5,375,005","41,209,916","275,134,256"
"104","","全産業（除く金融保険業）","26","","全規模","20120","","2012年度","","1,374,510,498","25,807,600","468,353","128,195,884","19,743,973","5,343,602","40,892,206","272,340,211"
"104","","全産業（除く金融保険業）","26","","全規模","20130","","2013年度","","1,409,157,152","25,361,073","580,932","124,461,834","20,123,772","5,379,646","40,031,592","276,308,998"
"104","","全産業（除く金融保険業）","26","","全規模","20140","","2014年度","","1,447,842,502","24,947,948","568,331","127,123,629","21,126,132","5,337,123","40,378,641","284,762,354"
"104","","全産業（除く金融保険業）","26","","全規模","20150","","2015年度","","1,431,534,143","24,543,501","672,263","128,751,643","21,816,969","5,243,223","40,529,931","293,682,850"
